company,founded,age
HP Inc.,1939,Old
HPE,1939,Old
Intel,1968,Old
Apple,1976,Old
Adobe,1982,Maturing
Intuit,1983,Maturing
Cisco,1984,Maturing
Nvidia,1993,Maturing
eBay,1995,Maturing
Google,1998,Maturing
Salesforce,1999,Maturing
LinkedIn,2002,New
Facebook,2004,New
23andMe,2006,New
Twitter,2006,New
MobileIron,2007,New
View,2007,New
Airbnb,2008,New
Pinterest,2009,New
Uber,2009,New
Square,2009,New
Lyft,2012,New
